Area,Year,Avg_house_price
Hillingdon,2015,362226.5833333333
Hillingdon,2016,411560.8333333333
Hillingdon,2017,424699.6666666667
Hillingdon,2018,421291.0833333333
Hillingdon,2019,415215.5833333333
Hillingdon,2020,420906.8333333333
Hounslow,2012,304347.9166666667
Hounslow,2013,330038.75
Hounslow,2014,368597.8333333333
Hounslow,2015,399164.75
Hounslow,2016,438945.0833333333
Hounslow,2017,455349.0
Hounslow,2018,450570.6666666667
Hounslow,2019,456357.3333333333
Hounslow,2020,468878.1666666667
Inner London,2012,410627.6666666667
Inner London,2013,455234.4166666667
Inner London,2014,539888.9166666666
Inner London,2015,585817.0
Inner London,2016,627387.0
Inner London,2017,642599.0
Inner London,2018,633338.0
Inner London,2019,623380.9166666666
Inner London,2020,642898.75
Islington,2012,442379.3333333333
Islington,2013,496090.5
Islington,2014,585554.0833333334
Islington,2015,643568.5
Islington,2016,642557.1666666666
Islington,2017,650539.9166666666
Islington,2018,649957.6666666666
Islington,2019,633900.25
Islington,2020,661645.25
Kensington & Chelsea,2012,1091782.0
Kensington & Chelsea,2013,1218946.5833333333
Kensington & Chelsea,2014,1394049.0833333333
Kensington & Chelsea,2015,1408869.1666666667
Kensington & Chelsea,2016,1380880.5833333333
Kensington & Chelsea,2017,1454785.8333333333
Kensington & Chelsea,2018,1475627.75
Kensington & Chelsea,2019,1337299.5
Kensington & Chelsea,2020,1428848.1666666667
Kingston upon Thames,2012,341868.0
Kingston upon Thames,2013,364157.0
Kingston upon Thames,2014,427740.0
Kingston upon Thames,2015,461335.25
Kingston upon Thames,2016,509080.8333333333
Kingston upon Thames,2017,518544.6666666667
Kingston upon Thames,2018,523508.6666666667
Kingston upon Thames,2019,512570.5
Kingston upon Thames,2020,516849.75
LONDON,2012,325370.4166666667
LONDON,2013,352391.6666666667
LONDON,2014,413366.75
LONDON,2015,455128.75
LONDON,2016,500486.75
LONDON,2017,514130.1666666667
LONDON,2018,511558.0833333333
LONDON,2019,504314.3333333333
LONDON,2020,517773.25
Lambeth,2012,350558.0833333333
Lambeth,2013,388561.1666666667
Lambeth,2014,464203.0833333333
Lambeth,2015,504871.1666666667
Lambeth,2016,550848.0833333334
Lambeth,2017,555067.1666666666
Lambeth,2018,547657.75
Lambeth,2019,543658.9166666666
Lambeth,2020,563965.5833333334
Lewisham,2012,255288.41666666666
Lewisham,2013,276770.0
Lewisham,2014,335131.6666666667
Lewisham,2015,376769.25
Lewisham,2016,427279.75
Lewisham,2017,436193.9166666667
Lewisham,2018,436704.4166666667
Lewisham,2019,433623.9166666667
Lewisham,2020,448144.3333333333
Merton,2012,338592.0
Merton,2013,368311.4166666667
Merton,2014,448947.1666666667
Merton,2015,489274.8333333333
Merton,2016,534776.3333333334
Merton,2017,547517.0
Merton,2018,548080.4166666666
Merton,2019,539639.5
Merton,2020,560279.4166666666
NORTH EAST,2012,110074.33333333333
NORTH EAST,2013,109677.5
NORTH EAST,2014,112179.25
NORTH EAST,2015,114777.58333333333
NORTH EAST,2016,117724.08333333333
NORTH EAST,2017,119773.41666666667
NORTH EAST,2018,121422.16666666667
NORTH EAST,2019,121669.16666666667
NORTH EAST,2020,123916.5
NORTH WEST,2012,119378.0
NORTH WEST,2013,119967.66666666667
NORTH WEST,2014,125527.75
NORTH WEST,2015,130207.0
NORTH WEST,2016,137136.0
NORTH WEST,2017,144015.33333333334
NORTH WEST,2018,149200.41666666666
NORTH WEST,2019,153006.58333333334
NORTH WEST,2020,158970.66666666666
Newham,2012,222364.25
Newham,2013,232770.41666666666
Newham,2014,269890.8333333333
Newham,2015,310895.8333333333
Newham,2016,363553.5833333333
Newham,2017,378363.5
Newham,2018,375275.4166666667
Newham,2019,380270.0
Newham,2020,390534.3333333333
Outer London,2012,279171.9166666667
Outer London,2013,295697.5
Outer London,2014,343131.0
Outer London,2015,382704.3333333333
Outer London,2016,430840.8333333333
Outer London,2017,445686.0833333333
Outer London,2018,447127.4166666667
Outer London,2019,440811.5833333333
Outer London,2020,449288.8333333333
Redbridge,2012,261196.08333333334
Redbridge,2013,269951.0
Redbridge,2014,298768.25
Redbridge,2015,337698.1666666667
Redbridge,2016,384888.1666666667
Redbridge,2017,403023.5833333333
Redbridge,2018,415004.3333333333
Redbridge,2019,404029.6666666667
Redbridge,2020,415485.3333333333
Richmond upon Thames,2012,482602.6666666667
Richmond upon Thames,2013,522036.9166666667
Richmond upon Thames,2014,612140.75
Richmond upon Thames,2015,656400.3333333334
Richmond upon Thames,2016,693510.3333333334
Richmond upon Thames,2017,705734.6666666666
Richmond upon Thames,2018,691932.9166666666
Richmond upon Thames,2019,688086.0833333334
Richmond upon Thames,2020,722591.4166666666
SOUTH EAST,2012,225420.58333333334
SOUTH EAST,2013,233117.41666666666
SOUTH EAST,2014,256118.83333333334
SOUTH EAST,2015,279031.1666666667
SOUTH EAST,2016,306045.8333333333
SOUTH EAST,2017,319930.25
SOUTH EAST,2018,325867.5833333333
SOUTH EAST,2019,323441.5833333333
SOUTH EAST,2020,329554.75
SOUTH WEST,2012,184115.83333333334
SOUTH WEST,2013,187558.83333333334
SOUTH WEST,2014,199428.33333333334
SOUTH WEST,2015,211362.08333333334
SOUTH WEST,2016,225124.5
SOUTH WEST,2017,236673.33333333334
SOUTH WEST,2018,245513.33333333334
SOUTH WEST,2019,246748.16666666666
SOUTH WEST,2020,254571.58333333334
Southwark,2012,382195.1666666667
Southwark,2013,416390.1666666667
Southwark,2014,493744.0
Southwark,2015,540029.0833333334
Southwark,2016,589042.25
Southwark,2017,595450.5833333334
Southwark,2018,581994.0833333334
Southwark,2019,575881.9166666666
Southwark,2020,590757.5
Sutton,2012,241459.66666666666
Sutton,2013,254764.5
Sutton,2014,294322.6666666667
Sutton,2015,326471.1666666667
Sutton,2016,369306.5
Sutton,2017,381055.4166666667
Sutton,2018,383451.0833333333
Sutton,2019,375669.5
Sutton,2020,382900.0
Tower Hamlets,2012,313351.25
Tower Hamlets,2013,339255.75
Tower Hamlets,2014,419599.5833333333
Tower Hamlets,2015,463181.8333333333
Tower Hamlets,2016,501806.4166666667
Tower Hamlets,2017,504166.25
Tower Hamlets,2018,490142.3333333333
Tower Hamlets,2019,481511.75
Tower Hamlets,2020,511605.1666666667
Unnamed: 34,2012,
Unnamed: 34,2013,
Unnamed: 34,2014,
Unnamed: 34,2015,
Unnamed: 34,2016,
Unnamed: 34,2017,
Unnamed: 34,2018,
Unnamed: 34,2019,
Unnamed: 34,2020,
Unnamed: 37,2012,
Unnamed: 37,2013,
Unnamed: 37,2014,
