Croydon,Arson and Criminal Damage,3489,2781,2774,3025,3156,3073,2568,2460,2643
Croydon,Burglary,4366,3978,3147,2740,2752,2705,2809,2826,2499
Croydon,Drug Offences,2732,2146,1915,1602,1416,1704,1696,2473,2977
Croydon,Historical Fraud and Forgery,1201,103,0,0,0,0,0,0,0
Croydon,Miscellaneous Crimes Against Society,379,286,322,428,475,439,461,479,568
Croydon,Possession of Weapons,260,186,219,221,273,414,390,360,399
Croydon,Public Order Offences,1234,944,1320,1713,1878,2010,1769,2135,2484
Croydon,Robbery,2153,1731,999,742,1163,1189,1100,1169,1045
Croydon,Sexual Offences,614,517,652,734,844,894,984,1046,1078
Croydon,Theft,8556,6748,6723,6391,6160,5794,5841,6012,5055
Croydon,Vehicle Offences,4801,3627,3158,3284,3332,3590,4230,5117,5391
Croydon,Violence Against the Person,7587,5406,7120,8459,8812,8786,9213,9829,11741
Ealing,Arson and Criminal Damage,2890,2216,2279,2401,2494,2274,2146,2217,2208
Ealing,Burglary,4307,3584,2913,2629,2484,2601,2547,2915,2370
Ealing,Drug Offences,2579,1928,1644,1450,1420,1398,1182,1718,2486
Ealing,Historical Fraud and Forgery,1229,115,0,0,0,0,0,0,0
Ealing,Miscellaneous Crimes Against Society,388,308,297,329,433,411,326,380,566
Ealing,Possession of Weapons,164,132,143,160,194,251,218,264,252
Ealing,Public Order Offences,1556,1227,1418,1791,1798,1975,1938,2046,2390
Ealing,Robbery,1428,937,646,644,678,851,859,1306,937
Ealing,Sexual Offences,499,410,475,563,555,627,704,717,775
Ealing,Theft,8090,6706,6058,6233,6736,6321,6005,6147,5206
Ealing,Vehicle Offences,4833,3880,3645,3411,3408,3747,4214,5542,4874
Ealing,Violence Against the Person,7427,5295,6199,7399,7853,7903,8196,8613,9615
Enfield,Arson and Criminal Damage,2437,1962,2022,2046,2060,2136,2125,2104,1983
Enfield,Burglary,4102,3468,3060,2821,2545,2627,2970,3232,2641
Enfield,Drug Offences,1338,1636,1456,1277,1108,1052,960,1110,1653
Enfield,Historical Fraud and Forgery,965,98,0,0,0,0,0,0,0
Enfield,Miscellaneous Crimes Against Society,262,258,326,324,344,358,450,404,476
Enfield,Possession of Weapons,153,150,212,161,224,267,251,280,247
Enfield,Public Order Offences,795,718,996,1118,1290,1283,1438,1576,1971
Enfield,Robbery,1322,950,785,957,825,1002,1234,1720,1187
Enfield,Sexual Offences,401,344,436,471,550,627,645,640,739
Enfield,Theft,5316,4543,4959,4717,4871,5373,5273,5370,4673
Enfield,Vehicle Offences,4819,4343,3105,3206,3259,4013,5622,6170,6271
Enfield,Violence Against the Person,5239,3898,5058,5746,6251,6497,7050,8007,9287
Greenwich,Arson and Criminal Damage,2552,1976,1918,2204,2391,2522,2094,2217,2149
Greenwich,Burglary,2619,2391,2153,1873,1783,2212,2396,2530,1820
Greenwich,Drug Offences,1620,1313,1256,943,872,979,883,1326,2174
Greenwich,Historical Fraud and Forgery,767,96,0,0,0,0,0,0,0
Greenwich,Miscellaneous Crimes Against Society,310,306,328,399,464,483,446,430,480
Greenwich,Possession of Weapons,150,101,122,133,129,242,208,255,284
Greenwich,Public Order Offences,1135,885,1147,1471,1684,1746,1635,1833,2161
Greenwich,Robbery,662,475,410,467,488,638,644,873,796
Greenwich,Sexual Offences,417,337,463,520,572,694,732,806,716
Greenwich,Theft,6360,5045,5035,4885,5373,5512,5387,5729,4662
Greenwich,Vehicle Offences,2817,2436,2295,2268,2704,3133,3519,4698,3453
Greenwich,Violence Against the Person,5870,4384,5499,6458,7110,7370,7780,8216,9009
Hackney,Arson and Criminal Damage,2105,1638,1836,1960,1930,1966,1828,1799,1896
Hackney,Burglary,2829,2796,2650,2500,2722,2929,3228,3355,2797
Hackney,Drug Offences,2439,1885,1310,1320,1397,1274,1497,1722,1792
Hackney,Historical Fraud and Forgery,821,57,0,0,0,0,0,0,0
Hackney,Miscellaneous Crimes Against Society,292,228,313,309,317,324,331,300,369
Hackney,Possession of Weapons,198,182,169,238,260,362,319,329,359
Hackney,Public Order Offences,1216,988,1333,1654,1809,1884,1706,1930,2346
Hackney,Robbery,1551,1054,973,1027,1051,1476,1606,2046,1758
Hackney,Sexual Offences,483,403,507,610,690,804,779,710,754
Hackney,Theft,11670,9508,7897,8266,9276,10037,8856,10775,9109
Hackney,Vehicle Offences,3424,2684,2333,2581,2524,3153,3436,3774,3429
Hackney,Violence Against the Person,6177,4873,5880,6831,7206,7632,7689,7767,8475
Hammersmith and Fulham,Arson and Criminal Damage,1600,1192,1343,1439,1381,1338,1218,1349,1207
Hammersmith and Fulham,Burglary,2093,1532,1453,1580,1533,1915,1938,1880,1587
Hammersmith and Fulham,Drug Offences,1864,2021,1857,1434,1360,1081,964,1133,1307
Hammersmith and Fulham,Historical Fraud and Forgery,870,67,0,0,0,0,0,0,0
Hammersmith and Fulham,Miscellaneous Crimes Against Society,319,270,312,302,358,332,278,296,272
Hammersmith and Fulham,Possession of Weapons,138,136,130,127,150,170,176,161,148
Hammersmith and Fulham,Public Order Offences,1302,1055,1263,1419,1585,1485,1432,1595,1624
Hammersmith and Fulham,Robbery,795,581,371,359,404,566,777,878,587
Hammersmith and Fulham,Sexual Offences,325,269,335,382,444,440,565,538,457
Hammersmith and Fulham,Theft,8744,6784,6386,6238,6029,6175,6491,6901,5514
Hammersmith and Fulham,Vehicle Offences,3291,2346,2576,2787,2960,3410,2843,3492,2484
Hammersmith and Fulham,Violence Against the Person,4045,3095,3719,4401,4689,4814,5452,5662,5390
Haringey,Arson and Criminal Damage,2474,1830,2099,2089,2184,2101,2004,1827,1943
Haringey,Burglary,3903,2748,2889,2563,2473,2372,3187,2835,2288
Haringey,Drug Offences,1740,1239,1189,1345,1605,1402,1356,1613,2087
Haringey,Historical Fraud and Forgery,897,93,0,0,0,0,0,0,0
Haringey,Miscellaneous Crimes Against Society,214,189,235,289,353,337,371,377,423
Haringey,Possession of Weapons,174,127,131,203,249,327,345,296,294
Haringey,Public Order Offences,862,610,1107,1299,1696,1833,1706,1757,1954
Haringey,Robbery,1415,926,1014,1263,1271,1839,1863,2644,1702
Haringey,Sexual Offences,488,322,472,570,623,661,753,732,801
Haringey,Theft,7276,5876,5947,6642,7258,7802,6852,7285,6175
